,Democrats_12(Votes),Republicans_12(Votes),Democrats_16(Votes),Republicans_16(Votes),Fips
2757,21381.0,32194.0,20987.0,34321.0,1081
2758,2799.0,5064.0,2421.0,6072.0,5071
2759,993.0,2508.0,699.0,2875.0,5101
2760,868.0,4285.0,594.0,4067.0,56003
2761,5333.0,11075.0,4200.0,11167.0,56013
2762,1458.0,4178.0,924.0,4418.0,56015
2763,4774.0,11428.0,3233.0,12153.0,56037
2764,,,,,2150
2765,33551.0,43015.0,25575.0,47618.0,27145
2766,70203.0,69137.0,67086.0,64429.0,27163
2767,5904.0,10842.0,4322.0,12792.0,29159
2768,1993.0,1221.0,1912.0,1156.0,27031
2769,3923.0,11787.0,2886.0,13149.0,29209
2770,12165.0,18860.0,9339.0,20939.0,27111
2771,1213.0,4095.0,705.0,4827.0,29017
2772,4969.0,6913.0,3192.0,8103.0,27093
2773,118780.0,22943.0,101487.0,20281.0,29510
2774,341.0,664.0,195.0,808.0,29227
2775,3319.0,6394.0,2549.0,5929.0,28101
2776,9095.0,8761.0,7851.0,7671.0,28105
2777,4723.0,7424.0,3871.0,7393.0,28127
2778,13981.0,5651.0,9847.0,4541.0,28151
2779,337.0,854.0,232.0,867.0,30045
2780,471.0,1688.0,315.0,1715.0,30071
2781,5348.0,5594.0,4549.0,5758.0,37033
2782,2468.0,4192.0,2181.0,4072.0,28077
2783,92323.0,79768.0,92488.0,74793.0,37067
2784,13436.0,14603.0,12811.0,16320.0,37069
2785,17176.0,8763.0,15642.0,8954.0,37083
2786,8396.0,12896.0,6398.0,15269.0,42127
2787,14974.0,9231.0,14532.0,8910.0,44001
2788,81487.0,77629.0,89048.0,75233.0,45019
2789,472.0,166.0,296.0,171.0,46017
2790,2955.0,2147.0,2608.0,2109.0,46027
2791,941.0,1175.0,570.0,1366.0,46039
2792,1207.0,663.0,887.0,723.0,46041
2793,426.0,661.0,323.0,722.0,46071
2794,273665.0,188589.0,329579.0,195091.0,12095
2795,15770.0,6630.0,14994.0,6721.0,12039
2796,122993.0,159300.0,119525.0,181620.0,12009
2797,2870.0,6517.0,2583.0,7285.0,13147
2798,1770.0,1271.0,1597.0,1270.0,13243
2799,3959.0,7230.0,3471.0,7288.0,13293
2800,7512.0,6556.0,5517.0,7458.0,19015
2801,386.0,2608.0,271.0,2275.0,16029
2802,159.0,402.0,110.0,410.0,16025
2803,2101.0,2557.0,1244.0,3115.0,19133
2804,2053.0,2707.0,1617.0,3216.0,17017
2805,24438.0,35335.0,20568.0,38620.0,17179
2806,1225.0,3138.0,933.0,3789.0,16021
2807,1520.0,2138.0,976.0,2721.0,19051
2808,2189.0,2124.0,1463.0,2706.0,19039
2809,2430.0,5334.0,1946.0,5695.0,17041
2810,5463.0,7579.0,3637.0,9704.0,42047
2811,13072.0,19518.0,9184.0,24418.0,42097
2812,5357.0,11342.0,3642.0,12928.0,42117
2813,8475.0,8443.0,7616.0,9083.0,45029
2814,7523.0,5427.0,5832.0,5637.0,45033
2815,2786.0,5219.0,2449.0,5174.0,46065
2816,15125.0,28232.0,14074.0,29804.0,46103
2817,439.0,314.0,352.0,368.0,46137
2818,1267.0,3022.0,896.0,3621.0,47007
2819,5870.0,13023.0,4741.0,14409.0,47031
2820,143120.0,97622.0,148473.0,84365.0,47037
2821,4232.0,13038.0,3490.0,14760.0,47089
2822,1483.0,4611.0,988.0,5400.0,47091
2823,863.0,1080.0,637.0,1179.0,32021
2824,5787.0,8594.0,4327.0,11582.0,36073
2825,21353.0,15138.0,14659.0,18450.0,36089
2826,16635.0,20060.0,12378.0,21935.0,36117
2827,447273.0,190660.0,383974.0,179894.0,39035
2828,32256.0,49819.0,28023.0,47506.0,39057
2829,12521.0,17664.0,11439.0,19153.0,40031
2830,1646.0,5457.0,1035.0,5819.0,1075
2831,3669.0,4057.0,2238.0,4704.0,26011
2832,4952.0,7688.0,3923.0,8580.0,26043
2833,6198.0,6701.0,4287.0,8141.0,26143
2834,4412.0,4533.0,3134.0,5516.0,27001
2835,116255.0,109516.0,110251.0,99624.0,27037
2836,3024.0,3305.0,2146.0,4000.0,27113
2837,17054.0,14384.0,14437.0,15429.0,27131
2838,1312.0,2721.0,837.0,3231.0,29025
2839,2309.0,4701.0,1518.0,5794.0,29121
2840,643.0,1246.0,365.0,1525.0,29199
2841,908.0,1610.0,526.0,1884.0,29211
2842,4409.0,10708.0,3173.0,12829.0,29225
2843,1726.0,2735.0,1471.0,2685.0,28037
2844,3959.0,2499.0,3337.0,2462.0,28135
2845,3412.0,1415.0,2826.0,1305.0,28157
2846,10857.0,5430.0,8545.0,6252.0,30093
2847,2437.0,7638.0,1800.0,8545.0,18027
2848,39157.0,24934.0,32258.0,26969.0,17161
2849,3460.0,7096.0,2306.0,8528.0,18021
2850,382.0,2135.0,296.0,2200.0,20147
2851,163.0,976.0,111.0,855.0,20097
2852,3060.0,4332.0,2518.0,5015.0,18013
2853,1018.0,2022.0,715.0,2445.0,18161
2854,2772.0,1396.0,2244.0,1381.0,51036
2855,4676.0,8448.0,4884.0,8374.0,51075
2856,58185.0,88711.0,57114.0,88370.0,12033
2857,9805.0,19230.0,6665.0,20025.0,24001
2858,1124.0,5667.0,903.0,6301.0,13229
2859,4164.0,8597.0,2878.0,9659.0,19149
2860,8556.0,15823.0,7316.0,16211.0,24035
2861,120890.0,56412.0,128025.0,50335.0,26161
2862,2994.0,3744.0,2110.0,4354.0,26039
2863,2274.0,4665.0,1565.0,5386.0,26113
2864,6242.0,6909.0,4344.0,8344.0,26069
2865,582.0,774.0,527.0,814.0,26083
2866,10801.0,13158.0,10380.0,13625.0,37105
2867,32473.0,61107.0,34051.0,66265.0,37179
2868,1183.0,2280.0,734.0,2482.0,38009
2869,2812.0,8521.0,1745.0,9718.0,38089
2870,615.0,2138.0,414.0,2299.0,31011
2871,1291.0,2029.0,928.0,2360.0,31021
2872,1084.0,3449.0,702.0,3610.0,31033
2873,106456.0,113220.0,105207.0,102151.0,31055
2874,176.0,792.0,89.0,823.0,31057
2875,271.0,1007.0,161.0,1106.0,31063
2876,238.0,1135.0,160.0,1202.0,31135
2877,2942.0,5961.0,2329.0,5889.0,35027
2878,2428.0,3529.0,1770.0,3695.0,35057
2879,87556.0,45064.0,74775.0,44227.0,36001
2880,470728.0,118589.0,473389.0,138550.0,36081
